trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
18,False,"{'a': 0.5, 'e': 0.9608342772032357}",25,0,-119.97305091880226,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9568927450589139}",20,0,-156.81507778720118,"{0: 9, 1: 4, 2: 3, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9525741268224334}",20,0,-148.85944172380442,"{0: 8, 1: 3, 2: 6, 3: 2, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9478464369215823}",20,6,-82.12979165065617,"{0: 7, 1: 1, 2: 5, 3: 0, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.9426758241011313}",35,0,-87.51215319550623,"{0: 25, 1: 5, 2: 3, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9370266439430035}",20,8,-21.07502797101108,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.9308615796566533}",30,0,-133.26739837977772,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9241418199787566}",35,0,-196.10367046179147,"{0: 20, 1: 5, 2: 7, 3: 0, 4: 3}",0
26,False,"{'a': 0.5, 'e': 0.9168273035060777}",20,0,-133.42464388638805,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.9088770389851438}",25,0,-114.33719165024056,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.9002495108803148}",35,0,-305.3555352255127,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 6}",0
29,False,"{'a': 0.5, 'e': 0.8909031788043871}",25,0,-149.5612517367056,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.8807970779778823}",35,2,-267.6025144987528,"{0: 17, 1: 4, 2: 5, 3: 3, 4: 4}",1
31,False,"{'a': 0.5, 'e': 0.8698915256370021}",25,0,-55.69484292631514,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.8581489350995123}",25,0,-52.52863127719037,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.8455347349164652}",35,0,-145.54039812396536,"{0: 23, 1: 3, 2: 4, 3: 4, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.8320183851339245}",25,0,-172.70709352106215,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.8175744761936437}",30,3,-172.3604792478862,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 3}",1
36,False,"{'a': 0.5, 'e': 0.8021838885585818}",25,3,-154.09154732832874,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 3}",1
37,False,"{'a': 0.5, 'e': 0.7858349830425586}",20,0,-51.43792776593486,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.7685247834990178}",20,0,-52.06794240812807,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.7502601055951177}",25,0,-93.77999235404846,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.7310585786300049}",25,12,-42.83649343368458,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
41,False,"{'a': 0.5, 'e': 0.7109495026250039}",25,0,-72.56505388577298,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.6899744811276125}",20,0,-61.67778399181265,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.6681877721681662}",20,0,-126.5552340451151,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",1
44,False,"{'a': 0.5, 'e': 0.6456563062257954}",20,0,-57.282132856268966,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.6224593312018546}",30,14,-4.5242064167529,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.598687660112452}",20,0,-49.66985313698289,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.574442516811659}",20,0,-130.07493231113588,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.549833997312478}",20,0,-19.51845426681367,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.52497918747894}",20,0,-66.06253142537906,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.5}",25,0,-66.3252912227266,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.47502081252106}",20,6,4.87422421992732,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.45016600268752216}",20,1,-111.5668633740336,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 2}",1
53,False,"{'a': 0.5, 'e': 0.425557483188341}",20,13,12.542117403289996,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.401312339887548}",25,0,-8.749245321336257,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.3775406687981454}",30,2,26.721833607240615,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.35434369377420455}",20,3,-37.54880944645637,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
57,False,"{'a': 0.5, 'e': 0.3318122278318339}",20,8,-0.7843034054171865,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.31002551887238755}",20,0,-11.864176230867692,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.289050497374996}",25,13,-16.458060859481414,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
60,False,"{'a': 0.5, 'e': 0.2689414213699951}",20,6,-20.481024327449607,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.24973989440488234}",20,5,-0.6449975903085878,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.23147521650098232}",25,6,16.233001458438693,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.2141650169574414}",20,0,-53.433042025131954,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.19781611144141822}",20,3,21.4995278625037,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.18242552380635635}",20,0,-40.519021286347666,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.16798161486607552}",25,19,9.248595756623638,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.15446526508353467}",30,13,15.213620881162296,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.14185106490048777}",20,4,19.689282600645363,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.13010847436299783}",25,5,23.580215673676175,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.11920292202211755}",20,15,10.04047050461797,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.10909682119561293}",25,15,19.918520317864605,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.09975048911968513}",25,5,39.36605947754881,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.09112296101485612}",30,20,-2.7546330808228525,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.08317269649392235}",20,7,22.83752306217371,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.07585818002124355}",20,4,26.950824660948633,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.06913842034334682}",30,6,40.39174310588794,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.06297335605699649}",35,15,36.11587307629084,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.05732417589886873}",30,17,25.66970378803717,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.05215356307841772}",20,4,-9.064007471324942,"{0: 14, 1: 0, 2: 0, 3: 2, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.04742587317756678}",25,10,14.003269463013158,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.043107254941086116}",20,9,0.7162673628232212,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.039165722796764356}",20,13,8.875941858663426,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.03557118927263617}",25,14,20.23276383064148,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.032295464698450495}",20,15,11.353155167136144,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.02931223075135632}",25,11,-40.495684412125925,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
86,False,"{'a': 0.5, 'e': 0.026596993576865856}",30,0,19.83679654320586,"{0: 28, 1: 1, 2: 0, 3: 1, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.024127021417669196}",20,13,11.709870952187337,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.021881270936130466}",20,14,4.6420653239568805,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.019840305734077503}",25,17,15.697467970827457,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.01798620996209156}",20,8,24.321120835271586,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.01630249937144093}",25,14,20.635403208450725,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.014774031693273055}",20,16,6.328588683981199,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.013386917827664779}",20,11,19.131372269139348,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.012128434984274237}",30,23,14.491893713297793,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.01098694263059318}",25,15,16.992426370814904,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.009951801866904317}",25,15,-24.98430102672521,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
97,False,"{'a': 0.5, 'e': 0.009013298652847822}",30,20,21.03269745692837,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.00816257115315989}",20,3,34.15819404883904,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.007391541344281971}",30,16,32.426835036026084,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.0066928509242848554}",25,11,24.46581269662687,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.00605980149158411}",20,10,17.94410212006964,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.005486298899450404}",35,20,21.776191314496256,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.004966801650056957}",25,16,7.475195206683672,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.004496273160941178}",30,18,27.11525257063354,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.004070137715896128}",25,18,12.077682626468114,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.003684239899435986}",20,10,18.408807523935344,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
